ID,PDF_File,Category,Page,Product_Title,Price_Formatted,Raw_Price,Line_Text
FURN-00074,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,13,Meridian,"₹82,000",82000,"MERIDIAN | Sophisticated Comfort. | ₹82,000"
FURN-00075,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,14,Tiara,"₹68,000",68000,"TIARA | Timeless Design. | ₹68,000"
FURN-00076,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,15,Fortune,"₹62,000",62000,"Fortune | VINE | ₹62,000"
FURN-00077,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,16,Chester,"₹65,000",65000,"CHESTER | Timeless Elegance. | ₹65,000"
FURN-00078,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,17,New Vogue,"₹58,000",58000,"NEW VOGUE | Refined Comfort. | ₹58,000"
FURN-00079,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,18,Heritage,"₹65,000",65000,"HERITAGE | Timeless elegance,crafted forheritage living. | ₹65,000"
FURN-00080,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,19,Vine,"₹98,000",98000,"VINE | ZURICH | ₹98,000"
FURN-00081,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,20,Vine,"₹65,000",65000,"VINE | Glamour | ₹65,000"
FURN-00082,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,21,Florance,"₹54,000",54000,"FLORANCE | Timeless Design. | ₹54,000"
FURN-00083,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,22,Vine,"₹68,000",68000,"VINE | Imperial | ₹68,000"
FURN-00084,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,23,Tokyo,"₹51,000",51000,"TOKYO | Timeless design. | ₹51,000"
FURN-00085,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,24,Saphire,"₹54,500",54500,"SAPHIRE | Designed to inspire. | ₹54,500"
FURN-00086,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,25,Mapple,"₹55,500",55500,"Mapple | Modern comfort. | ₹55,500"
FURN-00087,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,26,California,"₹52,000",52000,"California | DIV.INE | ₹52,000"
FURN-00088,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,27,Oxy,"₹58,000",58000,"OXY | Sophisticated Comfort. | ₹58,000"
FURN-00089,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,28,Divin,"₹63,000",63000,"DIVIN | CORBUSIER | ₹63,000"
FURN-00090,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,29,Sofa,"₹58,000",58000,"SOFA | DREAM | ₹58,000"
FURN-00091,+SOFA LIFESTYLE PRICELIST- AUG26.pdf,sofa,30,Divin,"₹53,000",53000,"DIVIN | JUNE | ₹53,000"
